state_code,household_size,household_weight,household_agi,employment_income,fed_income_tax,ca_income_tax,filing_status,is_married_couple,size_bucket,consumption_allowance,rebate_after_phaseout,excess_over_threshold,allowance_no_phaseout,allowance_phaseout
CA,6,4721.708,16608.380859375,20952.380859375,-10597.857421875,-491.8595275878907,single,0,6,40280.0,40280.0,0.0,40280.0,40280.0
CA,2,37453.684,44374.5703125,48192.5703125,223.465087890625,4.0,single,0,2,19720.0,19720.0,0.0,19720.0,19720.0
CA,8,1069.5172,55770.187622070305,65413.33288574219,-4961.38427734375,-295.4194564819335,mfj,1,7,54860.0,54860.0,0.0,54860.0,54860.0
CA,4,398.5712,20479.98828125,20952.380859375,-1700.0,-483.7455749511719,mfj,1,4,39440.0,39440.0,0.0,39440.0,39440.0
CA,3,7909.3804,52912.05078125,52904.7626953125,-2021.2806396484375,-168.71282958984375,single,0,3,24860.0,23412.1283515625,2912.05078125,24860.0,23412.1283515625
CA,4,137.07246,1261379.509765625,296476.193359375,206764.23046875,88522.99923706055,mfj,1,4,39440.0,0.0,1161379.509765625,39440.0,0.0
CA,2,2085.4297,59460.8203125,41904.76171875,3145.322998046875,693.342041015625,mfj,1,2,29160.0,29160.0,0.0,29160.0,29160.0
CA,3,310.46683,114593.49609375,114190.48046875,8308.219482421875,1339.1864013671875,single,0,3,24860.0,0.0,64593.49609375,24860.0,0.0
CA,1,154869.61,6333.33349609375,7333.33349609375,-561.0,-231.9363555908203,single,0,1,14580.0,14580.0,0.0,14580.0,14580.0
CA,2,493.66562,64952.3828125,64952.3828125,6130.5244140625,2070.230712890625,mfj,1,2,29160.0,29160.0,0.0,29160.0,29160.0
CA,1,846.49805,24684.876953125,0.0,806.7902221679688,-0.11391448974609375,single,0,1,14580.0,14580.0,0.0,14580.0,14580.0
CA,5,18.473707,112890.68798828125,113561.90673828125,9360.523010253906,1202.58349609375,single,0,5,35140.0,0.0,62890.68798828125,35140.0,0.0
CA,2,282.18634,144715.046875,0.0,15519.310546875,5325.28369140625,mfj,1,2,29160.0,16121.09233125,44715.046875,29160.0,16121.09233125
