household_agi,household_size,filing_status,household_weight,rebate_ptv,rebate_ptv_base
30592.75390625,1,single,18340.855,141.44921875,1565.0
180244.69873046875,5,mfj,638.26373,0.0,3765.0
530206.927734375,8,mfj,7458.5874,0.0,4865.0
98874.5390625,1,single,625.051,0.0,1565.0
5476.0439453125,1,single,0.36390564,1565.0,1565.0
112057.255859375,4,mfj,1235.1503,0.0,3215.0
46722.8115234375,4,single,1171.7085,3215.0,3215.0
49371.2109375,5,mfj,719.5161,3765.0,3765.0
120345.4912109375,4,mfj,99.51917,0.0,3215.0
513949.625,1,single,1521.9966,0.0,1565.0
169576.1953125,4,mfj,1979.2845,0.0,3215.0
41960.75,4,mfj,1533.0404,3215.0,3215.0
145457.46875,2,mfj,1.6846057,0.0,2115.0
25949.986328125,2,mfj,1216.7354,2115.0,2115.0
47486.72265625,1,single,1007.2853,0.0,1565.0
261754.38671875,3,single,11910.063,0.0,2665.0
529516.0,3,mfj,932.95886,0.0,2665.0
70120.529296875,4,single,881.30347,0.0,3215.0
130358.5,4,mfj,1098.4026,0.0,3215.0
62090.4755859375,3,single,614.1504,0.0,2665.0
51840.39453125,3,mfj,145.46022,291.92109375,2665.0
10637.576171875,1,single,82.71974,1565.0,1565.0
0.0,1,single,487.44382,1565.0,1565.0
77954.4296875,2,mfj,102.70533,0.0,2115.0
41401.90625,3,mfj,1304.5519,2379.61875,2665.0
130642.09375,2,mfj,210.71242,0.0,2115.0
20885.00390625,2,mfj,404.21637,2115.0,2115.0
977884.7922668457,7,mfj,356.67746,0.0,4865.0
37714.28515625,3,single,822.3364,2665.0,2665.0
223495.5,2,mfj,202.76804,0.0,2115.0
214271.07286071777,3,mfj,119.53901,0.0,2665.0
0.0,1,single,1.683314,1565.0,1565.0
60245.55078125,4,mfj,755.86505,810.8898437500001,3215.0
0.0,1,single,7.9113507,1565.0,1565.0
4.372673034667969,2,mfj,63.04662,2115.0,2115.0
142465.8046875,7,mfj,35.634247,0.0,4865.0
98787.7265625,3,mfj,740.1345,0.0,2665.0
152910.15625,2,mfj,515.02374,0.0,2115.0
10476.1904296875,2,single,290410.12,2115.0,2115.0
39022.5625,3,mfj,1306.3983,2665.0,2665.0
245423.40625,2,mfj,120.16708,0.0,2115.0
5924.37060546875,6,single,1845.3457,4315.0,4315.0
124319.9609375,1,single,2473.45,0.0,1565.0
57838.43359375,3,mfj,5.1497803,0.0,2665.0
260494.21875,1,single,533.13196,0.0,1565.0
34414.6796875,4,single,1158.2053,3215.0,3215.0
0.0,2,mfj,188.85841,2115.0,2115.0
0.0,2,mfj,542.1479,2115.0,2115.0
1.4575576782226562,1,single,29.42392,1565.0,1565.0
36441.921875,1,single,449.67978,0.0,1565.0
420324.8125,2,mfj,534.5001,0.0,2115.0
383018.97265625,4,mfj,193.30951,0.0,3215.0
57804.70703125,6,mfj,20.764816,4315.0,4315.0
105728.375,4,single,92.61698,0.0,3215.0
13119.4755859375,4,mfj,698.3083,3215.0,3215.0
71502.953125,2,mfj,103188.62,0.0,2115.0
81328.6875,2,mfj,25.855526,0.0,2115.0
247897.140625,2,mfj,289.1443,0.0,2115.0
455138.33249759674,4,mfj,322.41245,0.0,3215.0
132555.703125,1,single,0.27923706,0.0,1565.0
37521.015625,5,mfj,229.60596,3765.0,3765.0
310367.625,2,mfj,190.46078,0.0,2115.0
97005.63425445557,6,single,64.81494,0.0,4315.0
147922.57360839844,3,mfj,8.752698,0.0,2665.0
0.0,1,single,47.35518,1565.0,1565.0
86031.029296875,3,mfj,5093.334,0.0,2665.0
271696.1875,2,mfj,187.55324,0.0,2115.0
80941.79858398438,4,mfj,726.97485,0.0,3215.0
33388.73046875,4,mfj,61.664886,3215.0,3215.0
161770.3125,4,mfj,35.797245,0.0,3215.0
550391.3046875,4,mfj,140.2203,0.0,3215.0
105590.28124999999,6,single,6.5041614,0.0,4315.0
0.0,2,mfj,5.2485723,2115.0,2115.0
46459.705078125,3,mfj,288927.22,1368.058984375,2665.0
79710.921875,2,mfj,1653.4781,0.0,2115.0
29654.462890625,2,mfj,90271.86,2115.0,2115.0
67939.234375,5,mfj,869.82666,1472.153125,3765.0
71133.3984375,3,mfj,91582.71,0.0,2665.0
26222.501953125,3,mfj,646064.7,2665.0,2665.0
29837.0478515625,3,mfj,322.18237,2665.0,2665.0
143010.421875,1,single,126.00025,0.0,1565.0
17370.666015625,3,mfj,13835.653,2665.0,2665.0
157123.765625,3,mfj,52.85405,0.0,2665.0
52225.546875,4,mfj,542.6282,2414.890625,3215.0
20351.771484375,3,mfj,135.29614,2665.0,2665.0
34577.9921875,2,mfj,70.79387,1544.4015625,2115.0
222393.984375,4,mfj,595.8849,0.0,3215.0
0.0,3,mfj,10.7231865,2665.0,2665.0
0.0,2,mfj,516.8443,2115.0,2115.0
148852.75,3,mfj,1.1070713,0.0,2665.0
272958.45703125,3,mfj,508.679,0.0,2665.0
136036.267578125,2,mfj,698.9836,0.0,2115.0
71701.3359375,2,single,15842.154,0.0,2115.0
91218.15625,4,mfj,70.629906,0.0,3215.0
87770.5390625,5,mfj,5908.241,0.0,3765.0
118025.9921875,3,mfj,0.972827,0.0,2665.0
261414.390625,5,mfj,49.36972,0.0,3765.0
27762.48828125,2,mfj,1043.4724,2115.0,2115.0
166529.96875,3,mfj,421.10004,0.0,2665.0
2976.61376953125,3,mfj,75.39034,2665.0,2665.0
123265.26979446411,5,mfj,39684.195,0.0,3765.0
135533.390625,2,single,1405.297,0.0,2115.0
