household_agi,household_size,filing_status,household_weight,rebate_flat,rebate_flat_base
0.0,1,single,0.34439966,1700.0,1700.0
12571.4287109375,1,single,82.16367,1700.0,1700.0
384275.6875,1,single,427.66068,0.0,1700.0
41915.1796875,3,mfj,1394.6986,5100.0,5100.0
183583.015625,1,single,2.2058437,0.0,1700.0
0.0,3,mfj,6.284349,5100.0,5100.0
204293.453125,1,single,264.2267,0.0,1700.0
161288.265625,1,single,224.68115,0.0,1700.0
41585.408203125,3,mfj,780.19824,5100.0,5100.0
969592.375,5,mfj,537.2496,0.0,8500.0
108492.453125,2,mfj,326.37866,2975.37734375,3400.0
125189.4921875,1,single,460.30344,0.0,1700.0
31428.572265625,1,single,2788.158,1700.0,1700.0
43485.64453125,3,mfj,96.55669,5100.0,5100.0
324975.5859375,3,mfj,12.014449,0.0,5100.0
8486.2001953125,2,mfj,449.4088,3400.0,3400.0
115374.15625,2,mfj,311.34747,2631.2921875,3400.0
74005.98974609375,5,single,1177.2294,7299.700512695313,8500.0
33523.81005859375,3,mfj,73.48695,5100.0,5100.0
563084.83203125,3,mfj,147.12839,0.0,5100.0
74054.625,2,mfj,533.188,3400.0,3400.0
41904.76171875,4,single,516.4885,6800.0,6800.0
16761.904296875,3,single,4887.078,5100.0,5100.0
0.0,1,single,2274.578,1700.0,1700.0
58408.53125,1,single,449.27917,1279.5734375,1700.0
0.0,1,single,541.7724,1700.0,1700.0
55844.62890625,5,mfj,187.43814,8500.0,8500.0
314293.3125,3,mfj,0.9324645,0.0,5100.0
58192.609375,3,mfj,1113.1888,5100.0,5100.0
22497.37109375,2,mfj,1.2475004,3400.0,3400.0
24792.72265625,1,single,6658.277,1700.0,1700.0
41603.64453125,4,mfj,932.47815,6800.0,6800.0
125349.8203125,1,single,1641.43,0.0,1700.0
117857.451171875,3,mfj,5917.5566,4207.12744140625,5100.0
44432.77734375,2,mfj,169.13554,3400.0,3400.0
0.7287788391113281,1,single,863.38464,1700.0,1700.0
15798.76171875,5,single,1573.8939,8500.0,8500.0
138366.328125,2,mfj,34.95702,1481.68359375,3400.0
40489.546875,1,single,367.58398,1700.0,1700.0
196742.7109375,3,mfj,187.9022,262.8644531250002,5100.0
180954.75,1,single,11.198361,0.0,1700.0
181104.015625,1,single,178271.33,0.0,1700.0
75497.78125,2,mfj,632.7382,3400.0,3400.0
42042.56213760376,3,mfj,1276.3973,5100.0,5100.0
50154.06323242188,5,single,98.397934,8492.296838378907,8500.0
62857.14453125,3,mfj,2364.0627,5100.0,5100.0
46738.8828125,5,mfj,103215.78,8500.0,8500.0
51378.328125,1,single,14872.607,1631.08359375,1700.0
95655.328125,2,mfj,992.8001,3400.0,3400.0
85275.74609375,2,mfj,0.009437118,3400.0,3400.0
1668275.46875,2,mfj,128.52414,0.0,3400.0
19747.90234375,1,single,82.820915,1700.0,1700.0
26533.333984375,1,single,903.5156,1700.0,1700.0
26651.111328125,2,mfj,191361.58,3400.0,3400.0
171399.640625,1,single,590.0026,0.0,1700.0
102.02903747558594,3,mfj,104.62913,5100.0,5100.0
365059.203125,2,mfj,154.15535,0.0,3400.0
38743.32373046875,7,mfj,110.96071,11900.0,11900.0
11920.10546875,1,single,2.6701622,1700.0,1700.0
152730.078125,2,mfj,161.59538,763.49609375,3400.0
405803.16796875,3,mfj,33019.992,0.0,5100.0
0.0,1,single,18.12796,1700.0,1700.0
82605.49609375,2,mfj,0.021811312,3400.0,3400.0
0.0,1,single,272.9556,1700.0,1700.0
232579.322265625,2,mfj,665.6629,0.0,3400.0
11005.1015625,1,single,8779.785,1700.0,1700.0
152171.345703125,8,mfj,5.215231,10991.43271484375,13600.0
302999.625,2,mfj,2.5522776,0.0,3400.0
181453.3420410156,6,mfj,37945.734,6127.33289794922,10200.0
89885.359375,1,single,628.24164,0.0,1700.0
256945.953125,2,mfj,266.03036,0.0,3400.0
36666.66796875,1,single,4155.813,1700.0,1700.0
119539.1171875,2,mfj,115.90024,2423.044140625,3400.0
220355.296875,2,mfj,261.91617,0.0,3400.0
85777.6171875,2,single,87.25922,1611.119140625,3400.0
247406.28125,2,mfj,5.03506,0.0,3400.0
487807.0625,1,single,145505.95,0.0,1700.0
34777.00927734375,3,mfj,855.86224,5100.0,5100.0
27238.095703125,5,mfj,271111.06,8500.0,8500.0
44665.9143371582,4,mfj,0.53066623,6800.0,6800.0
242999.265625,1,single,82079.26,0.0,1700.0
235904.890625,3,mfj,402.579,0.0,5100.0
84776.125,3,mfj,0.7561912,5100.0,5100.0
112706.92578125,2,mfj,9.412352,2764.6537109375,3400.0
163377.1171875,4,mfj,436.9988,3631.1441406249996,6800.0
75871.0234375,2,mfj,282.19818,3400.0,3400.0
60416.2314453125,5,single,2001.2927,7979.188427734375,8500.0
36666.3984375,1,single,0.4900165,1700.0,1700.0
179288.40625,3,mfj,181.01704,1135.5796874999996,5100.0
0.0,1,single,42.958313,1700.0,1700.0
504131.4375,2,mfj,11384.447,0.0,3400.0
181101.453125,4,mfj,24.521177,2744.9273437499996,6800.0
481780.53125,2,mfj,1333.0581,0.0,3400.0
166535.875,3,mfj,423000.7,1773.2062499999997,5100.0
47357.5703125,4,mfj,51.50447,6800.0,6800.0
260494.72265625,4,mfj,241.39392,0.0,6800.0
29428.572265625,2,single,1848.3275,3400.0,3400.0
73670.599609375,4,single,539.0975,5616.47001953125,6800.0
35469.58203125,2,mfj,576.9219,3400.0,3400.0
95162.2578125,7,mfj,517.3781,11900.0,11900.0
96380.953125,5,mfj,238.01875,8500.0,8500.0
48190.4765625,1,single,25342.72,1700.0,1700.0
16238.095703125,1,single,704.85986,1700.0,1700.0
21862.76171875,1,single,1453.4777,1700.0,1700.0
60605.7734375,3,mfj,6868.965,5100.0,5100.0
74670.71875,3,single,151.20085,3866.4640625,5100.0
269595.375,2,mfj,2.311765,0.0,3400.0
114118.859375,3,mfj,143792.94,4394.05703125,5100.0
63752.2578125,2,mfj,79.27705,3400.0,3400.0
260120.78125,1,single,819.9075,0.0,1700.0
0.0,4,single,16.771807,6800.0,6800.0
31588.904296875,1,single,153.67735,1700.0,1700.0
171746.96875,2,single,1870.3593,0.0,3400.0
269514.17968749994,4,mfj,900.23096,0.0,6800.0
57619.048828125,9,single,1589.7091,14919.04755859375,15300.0
62737.14453125,2,mfj,31.730558,3400.0,3400.0
78185.5546875,1,single,354.76547,290.72226562499986,1700.0
36.438941955566406,1,single,18.255749,1700.0,1700.0
119000.2314453125,6,mfj,632.9209,9249.988427734375,10200.0
117141.6171875,6,single,931.6217,6842.919140624999,10200.0
49406.8037109375,2,mfj,755.67224,3400.0,3400.0
